Feature 1,Feature 2,Correlation Value
radius_mean,radius_mean,1
radius_mean,texture_mean,0.32378189092773324
radius_mean,perimeter_mean,0.9978552814938109
radius_mean,area_mean,0.9873571700566127
radius_mean,smoothness_mean,0.17058118749299467
radius_mean,compactness_mean,0.5061235775263634
radius_mean,concavity_mean,0.6767635503908104
radius_mean,concave points_mean,0.8225285223871786
radius_mean,symmetry_mean,0.14774124199260202
radius_mean,fractal_dimension_mean,-0.311630826
texture_mean,radius_mean,0.32378189092773324
texture_mean,texture_mean,1
texture_mean,perimeter_mean,0.3295330586865707
texture_mean,area_mean,0.32108569608020704
texture_mean,smoothness_mean,-0.023388516
texture_mean,compactness_mean,0.236702222
texture_mean,concavity_mean,0.30241782794389144
texture_mean,concave points_mean,0.29346405131394276
texture_mean,symmetry_mean,0.07140098
texture_mean,fractal_dimension_mean,-0.076437183
perimeter_mean,radius_mean,0.9978552814938109
perimeter_mean,texture_mean,0.3295330586865707
perimeter_mean,perimeter_mean,1
perimeter_mean,area_mean,0.9865068039913907
perimeter_mean,smoothness_mean,0.2072781636910072
perimeter_mean,compactness_mean,0.556936211
perimeter_mean,concavity_mean,0.7161356501174047
perimeter_mean,concave points_mean,0.8509770412528191
perimeter_mean,symmetry_mean,0.18302721211685316
perimeter_mean,fractal_dimension_mean,-0.261476908
area_mean,radius_mean,0.9873571700566127
area_mean,texture_mean,0.32108569608020704
area_mean,perimeter_mean,0.9865068039913907
area_mean,area_mean,1
area_mean,smoothness_mean,0.1770283772540016
area_mean,compactness_mean,0.49850168215241186
area_mean,concavity_mean,0.6859828285519112
area_mean,concave points_mean,0.8232688686524342
area_mean,symmetry_mean,0.15129307903511224
area_mean,fractal_dimension_mean,-0.283109812
smoothness_mean,radius_mean,0.17058118749299467
smoothness_mean,texture_mean,-0.023388516
smoothness_mean,perimeter_mean,0.2072781636910072
smoothness_mean,area_mean,0.1770283772540016
smoothness_mean,smoothness_mean,1
smoothness_mean,compactness_mean,0.6591232152159234
smoothness_mean,concavity_mean,0.521983768
smoothness_mean,concave points_mean,0.5536951727437609
smoothness_mean,symmetry_mean,0.5577747880728878
smoothness_mean,fractal_dimension_mean,0.5847920019499775
compactness_mean,radius_mean,0.5061235775263634
compactness_mean,texture_mean,0.236702222
compactness_mean,perimeter_mean,0.556936211
compactness_mean,area_mean,0.49850168215241186
compactness_mean,smoothness_mean,0.6591232152159234
compactness_mean,compactness_mean,1
compactness_mean,concavity_mean,0.8831206701772507
compactness_mean,concave points_mean,0.831135043
compactness_mean,symmetry_mean,0.6026410484055158
compactness_mean,fractal_dimension_mean,0.565368663
concavity_mean,radius_mean,0.6767635503908104
concavity_mean,texture_mean,0.30241782794389144
concavity_mean,perimeter_mean,0.7161356501174047
concavity_mean,area_mean,0.6859828285519112
concavity_mean,smoothness_mean,0.521983768
concavity_mean,compactness_mean,0.8831206701772507
concavity_mean,concavity_mean,1
concavity_mean,concave points_mean,0.9213910263788588
concavity_mean,symmetry_mean,0.5006666171419609
concavity_mean,fractal_dimension_mean,0.33678335942118504
concave points_mean,radius_mean,0.8225285223871786
concave points_mean,texture_mean,0.29346405131394276
concave points_mean,perimeter_mean,0.8509770412528191
concave points_mean,area_mean,0.8232688686524342
concave points_mean,smoothness_mean,0.5536951727437609
concave points_mean,compactness_mean,0.831135043
concave points_mean,concavity_mean,0.9213910263788588
concave points_mean,concave points_mean,1
concave points_mean,symmetry_mean,0.4624973883673585
concave points_mean,fractal_dimension_mean,0.1669173832269923
symmetry_mean,radius_mean,0.14774124199260202
symmetry_mean,texture_mean,0.07140098
symmetry_mean,perimeter_mean,0.18302721211685316
symmetry_mean,area_mean,0.15129307903511224
symmetry_mean,smoothness_mean,0.5577747880728878
symmetry_mean,compactness_mean,0.6026410484055158
symmetry_mean,concavity_mean,0.5006666171419609
symmetry_mean,concave points_mean,0.4624973883673585
symmetry_mean,symmetry_mean,1
symmetry_mean,fractal_dimension_mean,0.47992133005096926
fractal_dimension_mean,radius_mean,-0.311630826
fractal_dimension_mean,texture_mean,-0.076437183
fractal_dimension_mean,perimeter_mean,-0.261476908
fractal_dimension_mean,area_mean,-0.283109812
fractal_dimension_mean,smoothness_mean,0.5847920019499775
fractal_dimension_mean,compactness_mean,0.565368663
fractal_dimension_mean,concavity_mean,0.33678335942118504
fractal_dimension_mean,concave points_mean,0.1669173832269923
fractal_dimension_mean,symmetry_mean,0.47992133005096926
fractal_dimension_mean,fractal_dimension_mean,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
